longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-117.09,32.99,16,2175,327,1037,326,5.1909,201400
-117.09,32.98,23,1125,273,687,308,2.3182,268800
-117.09,32.91,9,2012,316,802,289,6.5706,255700
-117.09,32.91,16,2005,266,827,270,7.0546,282200
-117.09,32.9,16,1989,290,814,291,6.2715,255100
-117.09,32.83,15,4138,636,2001,677,4.8419,264000
-117.09,32.81,7,6100,1185,2710,1040,5.5673,288200
-117.09,32.8,36,2163,367,915,360,4.7188,174100
-117.09,32.8,15,666,152,247,164,2.15,131300
-117.09,32.79,36,1936,345,861,343,3.8333,170000
-117.09,32.79,36,1529,266,683,260,4.0982,171200
-117.09,32.79,20,2183,534,999,496,2.8631,169700
-117.09,32.78,28,1708,393,816,393,2.9881,165300
-117.09,32.77,38,2065,374,812,343,3.125,216500
-117.09,32.77,31,3062,596,1263,539,3.0875,291500
-117.09,32.76,44,1139,214,470,217,3.5481,203100
-117.09,32.76,43,3889,711,1466,663,3.5529,223000
-117.09,32.76,31,2567,624,1255,582,2.5909,159100
-117.09,32.76,31,1235,387,816,397,1.5517,122500
-117.09,32.76,10,1922,577,1595,545,1.5208,118800
-117.09,32.75,30,1899,546,1620,493,1.6034,84400
-117.09,32.75,28,1220,391,1286,396,1.2286,105000
-117.09,32.75,24,1245,376,1230,362,1.875,95000
-117.09,32.75,20,1701,503,1482,465,1.6789,95500
-117.09,32.74,23,3130,779,2472,744,2.32,93200
-117.09,32.73,26,3114,686,1948,660,2.8942,124100
-117.09,32.72,39,1273,246,770,242,2.0938,102500
-117.09,32.72,33,1096,240,716,224,1.6944,111800
-117.09,32.71,29,2238,523,2061,504,2.5559,96800
-117.09,32.71,12,3375,945,2357,808,1.5,106300
-117.09,32.7,22,2409,582,1887,578,1.4089,94200
-117.09,32.69,20,1102,205,852,217,3.1833,108300
-117.09,32.69,18,1645,430,1221,410,1.3269,108000
-117.09,32.68,30,2662,653,1997,605,2.8089,120600
-117.09,32.68,29,1792,449,1650,396,2.2201,100000
-117.09,32.68,20,2569,737,2341,705,2.0114,104900
-117.09,32.67,37,1157,332,983,306,2.0972,117000
-117.09,32.67,31,2051,549,1581,538,2.052,108900
-117.09,32.66,46,844,147,423,161,3.375,136300
-117.09,32.66,38,833,206,570,182,1.8333,127100
-117.09,32.65,25,3509,985,2359,899,2.6296,150000
-117.09,32.65,20,1445,323,573,334,2.619,145800
-117.09,32.64,38,2095,536,1240,550,2.7218,145900
-117.09,32.64,30,3171,862,2126,800,2.507,142700
-117.09,32.64,24,3613,973,2002,931,1.947,147500
-117.09,32.64,20,1999,651,1302,592,1.6321,57500
-117.09,32.63,33,620,161,420,164,1.8417,150000
-117.09,32.63,27,2920,770,1935,746,2.4148,67500
-117.09,32.62,37,1925,428,1344,426,2.4866,129700
-117.09,32.62,34,1576,364,1153,381,2.1955,129700
-117.09,32.61,23,1157,309,640,313,2.1548,118800
-117.09,32.61,21,1945,430,1335,419,3.6467,113000
-117.09,32.58,12,2565,567,1785,545,3.0273,135300
-117.09,32.57,23,1817,323,1371,327,3.6736,139500
-117.09,32.57,17,444,83,357,87,5.1478,138900
-117.09,32.57,10,2198,368,1645,350,4.5547,160700
-117.09,32.55,8,6533,1217,4797,1177,3.9583,144400
-117.1,34.57,6,5110,1044,1938,724,3.1917,112800
-117.1,34.21,22,4397,931,1145,445,4.5268,108400
-117.1,34.03,24,4144,826,2127,772,2.5172,96000
-117.1,33.56,6,1868,289,750,247,4.3833,307600
-117.1,33.36,19,3518,658,2091,610,3.2614,168800
-117.1,33.17,12,2465,412,1226,428,5.4819,183800
-117.1,33.15,5,3159,685,1398,581,3.1467,161100
-117.1,33.14,7,10665,2576,4917,2424,2.3171,159500
-117.1,33.12,12,961,342,315,201,0.813,275000
-117.1,33,5,15502,2613,7417,2358,5.9094,261100
-117.1,32.97,17,3167,861,2098,828,2.4459,85800
-117.1,32.96,7,3619,770,1134,482,4.1279,167600
-117.1,32.9,16,2994,445,1047,437,5.149,184300
-117.1,32.83,16,4214,744,1820,699,4.3783,179500
-117.1,32.77,49,4449,711,1606,709,5.7768,281600
-117.1,32.76,52,2606,426,883,380,4.2813,270800
-117.1,32.76,31,987,267,619,250,2.9286,151800
-117.1,32.76,30,1835,474,934,415,2.875,139600
-117.1,32.75,23,1858,551,1506,492,1.7446,85200
-117.1,32.75,21,2063,609,1686,558,1.4828,94800
-117.1,32.75,20,2355,722,1848,576,2.0036,99200
-117.1,32.75,16,2426,799,1505,754,1.6444,103400
-117.1,32.75,15,2422,774,2120,715,1.0617,92400
-117.1,32.75,11,1976,548,1528,512,1.4886,89800
-117.1,32.74,30,1772,500,1389,447,2.3641,94100
-117.1,32.74,14,2361,601,1831,526,1.6102,93400
-117.1,32.73,24,2927,704,2005,668,2.2375,102900
-117.1,32.72,5,1615,387,1094,394,2.2024,137200
-117.1,32.71,9,1931,472,1628,445,2.085,92600
-117.1,32.71,25,939,247,1003,240,1.75,87900
-117.1,32.7,42,2002,488,1505,464,1.5057,86300
-117.1,32.7,28,633,137,525,170,3.6042,95600
-117.1,32.69,37,1269,340,1369,302,2.2102,87200
-117.1,32.69,35,1292,272,1183,272,2.0547,98000
-117.1,32.69,29,4174,1195,3675,1124,1.8112,103600
-117.1,32.69,11,3071,911,2812,774,1.2413,83100
-117.1,32.68,49,1412,350,1200,332,2.0398,93600
-117.1,32.68,47,771,224,637,212,2.0156,90300
-117.1,32.68,47,1044,274,1003,280,1.7802,97800
-117.1,32.68,20,1012,269,837,240,2.0488,88900
-117.1,32.67,26,2629,763,2721,767,2.0982,109100
-117.1,32.67,22,1690,541,1669,494,2.0213,110600
-117.1,32.67,15,1635,553,1347,597,1.2745,92900
-117.1,32.66,27,1782,560,1785,560,2.1542,106300
-117.1,32.64,29,1578,460,1236,461,2.5658,134700
-117.1,32.59,21,2350,667,1621,613,2.0734,87500
-117.1,32.58,29,1061,202,759,206,4.8646,136800
-117.1,32.58,27,2616,591,1889,577,2.3824,127600
-117.1,32.58,23,1662,377,1318,386,2.3,120800
-117.1,32.58,17,2046,559,1585,530,2.25,132800
-117.1,32.57,26,2343,371,1221,372,4.3601,144900
-117.1,32.57,14,5058,1299,3662,1193,2.3253,133700
-117.1,32.56,16,2687,501,1502,480,3.75,146800
-117.11,34.43,14,3026,556,1349,485,2.8021,111200
-117.11,33.98,25,1254,312,715,301,2.7344,149000
-117.11,33.83,14,2715,500,1540,464,3.8036,139600
-117.11,33.78,13,1914,339,930,304,4.1875,161200
-117.11,33.75,17,4174,851,1845,780,2.2618,96100
-117.11,33.74,18,4799,1035,1966,944,2.1182,71300
-117.11,33.23,13,5819,919,2228,866,4.9335,298100
-117.11,33.19,15,3154,488,1656,429,5.0461,222400
-117.11,33.15,14,8374,1407,2916,1295,4.7019,191100
-117.11,33.14,10,3208,636,1395,582,3.4455,190500
-117.11,33.12,46,52,13,59,13,3.875,200000
-117.11,33.11,17,2641,627,1167,647,2.2875,132400
-117.11,32.97,9,1531,242,850,240,6.0862,263600
-117.11,32.95,11,4694,824,2223,783,4.9485,231800
-117.11,32.91,15,1840,235,855,241,7.5992,310600
-117.11,32.9,16,2043,388,705,352,4.4766,161500
-117.11,32.84,16,4608,629,2020,636,6.04,243000
-117.11,32.82,16,4241,892,1771,864,4.375,166500
-117.11,32.82,16,3980,682,3174,647,2.6607,175000
-117.11,32.81,15,3428,491,2303,486,2.5953,67500
-117.11,32.8,17,3890,586,2791,595,3.2197,67500
-117.11,32.79,16,2574,771,1129,721,3.3849,96900
-117.11,32.79,16,1791,518,1006,491,3.5179,129300
-117.11,32.78,16,2470,830,1170,724,3.5562,73500
-117.11,32.78,16,2220,512,930,527,3.6528,133200
-117.11,32.77,52,1506,233,478,240,4.3875,300000
-117.11,32.77,52,1484,224,498,223,6.6053,331400
-117.11,32.77,50,1729,355,617,337,3.6705,167000
-117.11,32.77,48,1502,272,590,265,2.5952,190300
-117.11,32.76,29,2030,545,1014,518,2.2409,114200
-117.11,32.76,28,1457,397,672,342,1.9799,122700
-117.11,32.76,21,2226,600,1085,533,2.2604,126300
-117.11,32.76,19,2188,616,1304,607,2.0852,114400
-117.11,32.75,46,695,182,601,195,2.4219,90600
-117.11,32.75,34,2131,594,1373,562,2.113,102100
-117.11,32.75,21,2127,658,1812,603,1.6896,100000
-117.11,32.75,20,1667,469,1292,445,2.0893,101100
-117.11,32.75,11,1607,478,1384,450,2.05,100000
-117.11,32.74,33,1126,267,621,241,3.2422,123100
-117.11,32.74,25,684,190,665,187,2.4524,90300
-117.11,32.74,25,2846,644,2272,632,2.2,98700
-117.11,32.73,35,1689,397,1135,366,2.3269,97300
-117.11,32.73,34,1096,221,574,223,3.8355,126700
-117.11,32.72,25,1491,348,1183,316,1.9583,88600
-117.11,32.71,30,1729,457,1673,460,1.7,85900
-117.11,32.71,29,1040,291,1054,297,1.1818,83200
-117.11,32.7,37,2045,502,1920,472,1.8125,83300
-117.11,32.7,34,2028,522,1797,464,1.7402,79400
-117.11,32.7,33,1980,488,1626,428,1.4856,86400
-117.11,32.69,39,395,159,620,162,2.725,86500
-117.11,32.69,37,2395,627,2489,599,1.5933,86300
-117.11,32.69,36,1421,367,1418,355,1.9425,93400
-117.11,32.69,34,1144,295,1271,302,2.09,91800
-117.11,32.68,36,26,14,58,23,1.9107,125000
-117.11,32.67,52,280,71,217,71,1.4844,83300
-117.11,32.67,52,204,74,248,57,1.7961,47500
-117.11,32.67,46,928,236,790,235,1.6806,92500
-117.11,32.67,43,515,146,445,140,1.6094,93000
-117.11,32.64,23,1619,447,1025,415,1.858,67500
-117.11,32.62,27,1846,509,1078,482,2.1719,131500
-117.11,32.59,18,2329,580,1538,567,2.1179,153100
-117.11,32.59,17,2020,534,1529,500,2.1773,143200
-117.11,32.58,28,1869,407,1074,344,2.5988,135600
-117.11,32.58,21,2894,685,2109,712,2.2755,125000
-117.12,34.46,17,1613,326,765,300,2.6827,110400
-117.12,34.06,38,281,55,151,52,1.3906,120800
-117.12,34.04,25,2495,438,1071,405,4.8173,146600
-117.12,33.52,4,30401,4957,13251,4339,4.5841,212300
-117.12,33.27,11,3016,601,1727,541,4.9375,232800
-117.12,33.15,7,2810,464,1564,457,4.4655,182800
-117.12,33.14,16,1710,272,1025,267,4.1641,163600
-117.12,33.14,12,2363,408,1211,396,3.8967,172600
-117.12,33.07,45,1032,235,363,177,3.6389,186600
-117.12,32.96,16,3050,559,1444,512,5.2463,156300
-117.12,32.96,15,2869,405,1526,402,6.0175,238300
-117.12,32.95,8,3670,536,1723,592,6.3542,218100
-117.12,32.95,4,9018,1572,4438,1498,4.988,263700
-117.12,32.93,7,1427,243,927,239,5.3625,218900
-117.12,32.91,8,3405,961,1742,918,2.8728,114600
-117.12,32.9,14,3249,937,1929,838,2.8588,92500
-117.12,32.9,13,1743,363,854,353,4.6667,138200
-117.12,32.8,31,1727,342,879,345,3.8125,166300
-117.12,32.8,29,2863,534,1392,522,3.8719,174200
-117.12,32.78,4,2782,817,1309,787,4.2621,124200
-117.12,32.77,48,2012,422,893,394,2.7928,175000
-117.12,32.77,43,2167,464,977,461,3.125,192200
-117.12,32.76,33,2279,591,1250,576,2.4297,139000
-117.12,32.76,28,2160,608,1339,571,1.9152,128100
-117.12,32.76,28,1605,501,936,460,2.5991,147500
-117.12,32.76,27,1426,364,792,353,2.0673,118800
-117.12,32.76,23,2681,717,1279,648,2.1597,116100
-117.12,32.76,17,1559,462,821,428,2.0139,150000
-117.12,32.75,37,2344,546,1134,513,2.4394,118300
-117.12,32.75,20,1406,413,850,412,2.3261,114600
-117.12,32.75,17,2060,633,1251,602,1.9886,119200
-117.12,32.75,15,2671,724,1800,646,2.1394,106700
-117.12,32.75,13,2795,773,1869,690,2.1767,101800
-117.12,32.74,52,1969,389,877,424,3.79,163400
-117.12,32.74,46,1898,441,978,439,3.2708,155200
-117.12,32.73,50,2307,424,887,356,3.5156,168800
-117.12,32.72,36,6096,1285,3093,1229,3.37,159100
-117.12,32.71,33,1256,331,1315,321,1.9286,78500
-117.12,32.71,24,421,101,396,113,0.6433,111300
-117.12,32.7,38,818,217,953,231,1.0531,65700
-117.12,32.7,37,1361,348,1398,328,1.1681,78100
-117.12,32.7,36,1011,253,763,226,1.8187,84100
-117.12,32.7,14,819,237,827,237,1.3194,90500
-117.12,32.69,46,200,77,180,65,1.0658,93800
-117.12,32.69,37,1082,294,1146,265,2.0673,88500
-117.12,32.58,34,2003,466,1226,443,3.0613,136700
-117.12,32.58,26,1360,309,869,328,3.0217,131600
-117.12,32.57,21,1738,295,983,298,4.8274,174100
-117.12,32.56,20,2524,682,1819,560,2.9286,257700
-117.13,34.88,21,3254,669,1548,545,2.3373,57100
-117.13,34.39,29,2251,464,855,315,3.4183,104100
-117.13,34.24,17,2828,506,673,274,5.2563,144100
-117.13,34.17,17,1181,271,248,114,5.5762,150000
-117.13,34.06,4,3078,510,1341,486,4.9688,163200
-117.13,33.89,4,1611,239,275,84,3.5781,244400
-117.13,33.15,15,2241,381,997,390,3.4833,193200
-117.13,33.14,5,2618,539,1320,512,4.1053,171400
-117.13,33.14,16,1649,278,993,277,4.8526,170700
-117.13,33.14,12,2258,456,1147,433,4.0495,153900
-117.13,33.13,17,3164,652,1123,699,2.082,80000
-117.13,32.97,10,3486,469,1700,483,6.4696,249500
-117.13,32.96,15,2267,292,1180,289,6.712,240200
-117.13,32.94,15,4846,825,2797,823,4.9375,180400
-117.13,32.93,16,2918,444,1697,444,5.3062,195500
-117.13,32.92,17,1481,315,1002,300,3.6196,163400
-117.13,32.92,16,2173,399,1460,393,4.2614,169600
-117.13,32.92,16,1580,241,917,261,4.7266,191100
-117.13,32.92,16,1565,257,893,239,5.5036,192300
-117.13,32.91,16,3230,579,1825,576,4.2969,151200
-117.13,32.91,15,1450,266,747,290,3.6111,196300
-117.13,32.9,15,2785,644,1798,630,3.7156,175200
-117.13,32.81,26,2119,444,1202,440,3.2308,166500
-117.13,32.81,19,2157,554,1349,535,2.7652,177400
-117.13,32.8,35,2129,382,1044,350,3.9732,174900
-117.13,32.8,33,2731,456,1263,445,4.5568,175300
-117.13,32.8,15,1606,375,784,342,3.7237,108300
-117.13,32.79,35,1458,262,723,257,4.2098,174100
-117.13,32.77,30,2582,650,1098,603,2.8281,171700
-117.13,32.76,33,1591,461,794,425,2.6333,140000
-117.13,32.76,29,2568,682,1191,642,2.1094,162500
-117.13,32.76,27,2280,695,1235,664,1.9392,142900
-117.13,32.76,22,2623,732,1283,718,2.1563,127100
-117.13,32.75,50,1476,354,698,354,3,168800
-117.13,32.75,37,4142,1031,1936,968,2.693,174100
-117.13,32.75,31,2336,656,1186,609,2.5872,130600
-117.13,32.75,28,2279,671,1166,623,1.95,150000
-117.13,32.75,24,1877,519,898,483,2.2264,112500
-117.13,32.75,23,3999,1182,2051,1130,2.1292,135000
-117.13,32.75,20,2271,602,992,520,2.2599,157600
-117.13,32.74,52,1512,321,651,321,3.6852,185300
-117.13,32.74,50,1527,338,728,322,2.625,203200
-117.13,32.74,46,3355,768,1457,708,2.6604,170100
-117.13,32.73,52,2676,557,1181,537,3.6058,213100
-117.13,32.73,52,1911,415,777,412,2.2429,221100
-117.13,32.73,52,1148,214,481,215,5.454,240900
-117.13,32.73,43,2706,667,1531,614,2.1513,145000
-117.13,32.72,9,2436,720,1780,653,1.8299,137500
-117.13,32.72,52,1560,307,757,315,2.7083,199100
-117.13,32.72,43,2160,504,1221,452,2.4821,140600
-117.13,32.72,32,2197,623,1784,599,1.901,120300
-117.13,32.72,19,1341,435,1048,360,1.975,117900
-117.13,32.72,17,1285,423,1208,409,1.758,126600
-117.13,32.71,44,1697,413,1396,363,1.5474,83300
-117.13,32.71,42,1145,314,1114,307,1.2614,87500
-117.13,32.71,38,993,246,760,205,1.1563,82700
-117.13,32.71,37,1220,325,1472,323,1.825,81500
-117.13,32.71,35,614,180,691,164,1.6953,81300
-117.13,32.7,48,786,230,917,231,1.875,75600
-117.13,32.7,42,1210,292,945,258,0.8991,78900
-117.13,32.7,38,1445,392,1286,357,1.4632,80200
-117.13,32.7,35,1179,344,1372,330,1.9509,70200
-117.13,32.63,10,7374,1157,1900,794,8.7991,478500
-117.13,32.58,32,1870,437,1142,426,2.3194,159400
-117.13,32.58,27,1417,373,814,348,2.3603,195300
-117.14,34.75,33,552,120,347,97,1.8158,100000
-117.14,34.07,3,5542,828,2506,806,5.5875,162000
-117.14,34.05,5,2634,359,1173,372,6.746,204100
-117.14,34.01,26,7561,1051,2909,1012,7.2972,269600
-117.14,33.94,5,4873,639,1947,568,6.3223,223200
-117.14,33.39,17,2889,587,1931,510,3.8547,208300
-117.14,33.23,11,4068,829,918,500,3.1272,281300
-117.14,33.18,11,5546,974,2300,970,3.7109,199800
-117.14,33.16,16,1660,236,733,214,5.6874,202700
-117.14,33.15,17,1149,182,702,192,5.5696,168400
-117.14,33.15,16,1129,198,758,178,5.0346,174600
-117.14,33.12,7,6126,1032,2662,923,4.9005,264000
-117.14,33.07,12,9302,1603,4074,1504,4.3513,199600
-117.14,32.96,12,5949,799,2936,781,6.3721,241500
-117.14,32.93,16,2412,419,1612,422,4.5086,171100
-117.14,32.93,14,1946,463,1205,390,4.2109,171200
-117.14,32.93,12,1474,364,1009,372,4.0521,166700
-117.14,32.92,7,1308,418,766,390,3.2151,106300
-117.14,32.92,6,3069,750,1541,736,3.814,132500
-117.14,32.92,15,3242,595,1936,593,4.9706,184700
-117.14,32.91,14,3014,710,2165,705,3.7837,160300
-117.14,32.83,25,2161,462,896,468,2.2284,177500
-117.14,32.81,34,1748,294,800,294,4.4886,179100
-117.14,32.8,41,2423,469,1813,466,2.1157,156900
-117.14,32.8,35,1267,212,710,204,2.5368,169600
-117.14,32.79,35,3578,582,1568,553,4.7813,188600
-117.14,32.79,31,984,161,422,158,5.282,183000
-117.14,32.76,35,1785,493,965,506,2.0792,160000
-117.14,32.76,32,2587,681,1246,650,2.1727,145500
-117.14,32.76,28,3025,756,1328,695,2.694,164100
-117.14,32.76,24,3523,991,1775,873,2.1273,142300
-117.14,32.75,37,1832,525,955,488,2.7852,129200
-117.14,32.75,35,1391,329,726,317,2.6818,159400
-117.14,32.75,29,1961,565,1002,569,2.2813,118100
-117.14,32.75,27,1551,464,880,400,2.4167,131300
-117.14,32.74,47,1494,327,689,304,3.125,172700
-117.14,32.74,16,6075,1816,2592,1634,2.5553,178100
-117.14,32.73,26,450,132,317,109,4,137500
-117.14,32.72,43,1073,344,660,279,2.0529,168800
-117.14,32.72,42,1558,458,1227,407,2.2804,139100
-117.14,32.72,34,2533,862,2011,778,2.1199,160400
-117.14,32.71,52,979,314,975,297,1.2375,100000
-117.14,32.71,52,800,313,1337,282,1.5594,87500
-117.14,32.71,52,1225,332,955,321,1.6011,106300
-117.14,32.71,43,966,255,857,208,1.2841,72000
-117.14,32.71,39,1647,478,2176,479,1.7642,82900
-117.14,32.71,34,1694,455,1467,425,2.1164,139400
-117.14,32.7,48,510,180,545,132,1.8008,86500
-117.14,32.7,44,658,218,869,212,1.9338,89400
-117.14,32.7,43,1126,289,1132,294,2.1875,87000
-117.14,32.7,40,1227,330,1199,316,1.2188,92500
-117.14,32.7,36,633,148,557,139,1.5729,82700
-117.14,32.7,32,1280,353,1335,330,1.6023,77300
-117.15,34.83,30,5370,1062,2778,944,3.099,66800
-117.15,34.48,31,265,55,186,55,2.125,64800
-117.15,34.22,10,1039,174,317,109,7.2371,171900
-117.15,34.07,15,1852,316,906,298,5.3526,129800
-117.15,34.06,25,3670,644,1815,634,4.0658,127400
-117.15,34.05,9,1442,219,633,230,5.0227,162300
-117.15,34.03,32,2832,393,1033,385,6.5648,237200
-117.15,34.03,26,5305,701,1818,676,6.1461,217100
-117.15,33.7,2,6305,1265,2489,1152,3.1319,111500
-117.15,33.45,4,9089,1413,3886,1243,4.6904,174200
-117.15,33.2,16,2690,459,1253,393,4.0328,294600
-117.15,33.16,5,4750,962,2726,905,3.5839,158500
-117.15,33.14,15,1070,208,470,217,2.3062,158900
-117.15,33.02,4,15029,2279,5613,1696,7.2731,450400
-117.15,32.92,16,2969,514,1594,465,4.5221,168300
-117.15,32.92,16,1972,402,1377,413,4.4615,168300
-117.15,32.91,15,1613,303,702,240,4.875,169300
-117.15,32.91,10,2349,431,1598,435,4.8229,183200
-117.15,32.8,41,1413,261,1070,259,2.3578,166700
-117.15,32.8,23,2395,476,2284,488,3.7292,146300
-117.15,32.78,25,1577,266,611,284,5.25,205100
-117.15,32.77,16,2056,631,847,569,2.9576,92200
-117.15,32.76,43,2361,489,824,470,3.4196,302200
-117.15,32.76,40,1809,474,826,456,2.6518,179800
-117.15,32.76,37,1921,502,811,472,2.75,175000
-117.15,32.76,36,2644,674,1211,654,3.0445,214800
-117.15,32.75,9,2818,821,851,555,2.6181,204200
-117.15,32.75,27,3166,867,1332,817,2.6742,171400
-117.15,32.74,43,2383,607,962,587,2.2578,263600
-117.15,32.72,52,344,177,460,147,1.2292,137500
-117.15,32.72,51,1321,550,781,499,1.3071,250000
-117.15,32.71,52,402,183,557,172,1.3125,87500
-117.15,32.71,52,217,82,531,93,1.6607,137500
-117.15,32.7,52,458,148,1283,166,1.2863,86300
-117.15,32.7,50,475,172,483,120,1.3657,162500
-117.16,34.9,16,1579,327,934,298,2.7305,73800
-117.16,34.26,27,9285,1621,1135,410,2.5446,135200
-117.16,34.08,9,5306,993,2630,925,4.51,135800
-117.16,34.06,17,2285,554,1412,541,1.8152,94300
-117.16,34.05,23,3215,462,1411,435,6.0701,149900
-117.16,33.61,3,2744,428,1223,366,4.7944,215300
-117.16,33.57,2,20391,3245,7132,2716,3.9443,187300
-117.16,33.54,4,4952,1000,2912,943,3.7538,147500
-117.16,33.06,16,1988,279,770,252,5.8661,404500
-117.16,32.91,5,1619,272,1063,296,6.0891,214600
-117.16,32.89,5,8576,1952,5006,1827,4.3598,189100
-117.16,32.82,28,2291,371,1098,382,4.6875,188000
-117.16,32.81,34,2275,375,1021,379,3.6371,176300
-117.16,32.81,14,4328,1100,2046,1044,2.2899,159000
-117.16,32.8,37,422,79,211,80,3.0625,159700
-117.16,32.8,25,1399,329,1308,355,2.5682,187500
-117.16,32.8,22,2259,634,1213,601,2.5,177800
-117.16,32.79,32,1731,413,1569,427,3.3375,154300
-117.16,32.78,24,3566,765,1697,722,3.6375,178600
-117.16,32.75,49,1566,494,643,419,1.9637,137500
-117.16,32.75,34,1785,558,804,490,2.2687,200000
-117.16,32.75,23,2474,594,1107,536,2.9705,245500
-117.16,32.75,19,5430,1593,2496,1484,2.9112,199100
-117.16,32.74,52,852,262,389,249,2.6042,225000
-117.16,32.74,49,1815,495,601,410,3.0571,418800
-117.16,32.74,43,1437,406,692,379,3.1979,466700
-117.16,32.74,27,2335,604,982,590,3.1921,261500
-117.16,32.74,21,1882,486,903,482,3.06,243800
-117.16,32.73,52,1682,617,873,534,2.0972,112500
-117.16,32.73,52,1218,471,821,429,1.9597,200000
-117.16,32.72,27,1245,471,653,451,1.2668,225000
-117.16,32.72,24,1232,663,1184,626,1.0391,162500
-117.16,32.71,5,2508,827,2066,761,1.3092,325000
-117.16,32.58,36,1940,399,1076,382,3.3906,147800
-117.17,34.51,15,5151,942,2896,897,3.4875,90800
-117.17,34.49,13,4460,925,2225,840,2.0136,94100
-117.17,34.25,15,4236,753,703,255,3.5625,165500
-117.17,34.12,3,15695,2248,6080,1920,6.2178,173900
-117.17,34.12,2,3867,573,1275,433,5.4138,164400
-117.17,34.08,5,1473,228,842,257,4.875,138100
-117.17,34.07,24,6573,1235,2904,1202,3.0651,108000
-117.17,34.05,29,4007,700,1576,696,3.1801,149300
-117.17,34.05,24,2877,507,1141,474,4.2059,121500
-117.17,34.03,33,4583,648,1760,638,6.3308,230600
-117.17,33.83,7,77,12,64,15,4.6,187500
-117.17,33.66,2,7401,1187,2826,839,4.1386,177300
-117.17,33.34,15,3313,679,1022,564,2.7986,189900
-117.17,33.18,25,596,115,426,137,3.0221,214300
-117.17,32.83,24,3541,530,1591,530,5.3538,212500
-117.17,32.82,24,1623,417,911,397,2.7401,198100
-117.17,32.82,24,1569,377,715,321,3.1146,187500
-117.17,32.81,33,3064,506,1355,488,4.22,178700
-117.17,32.81,26,2424,388,974,375,4.739,184100
-117.17,32.8,20,2827,554,1822,536,3.4706,157600
-117.17,32.79,44,2262,647,3009,657,2.2663,123600
-117.17,32.79,43,1269,297,946,285,2.1447,133300
-117.17,32.78,42,1104,305,892,270,2.2768,145200
-117.17,32.78,17,3845,1051,3102,944,2.3658,164100
-117.17,32.77,6,3856,875,1547,816,4.5481,164800
-117.17,32.77,35,1399,274,695,281,3.767,166800
-117.17,32.75,52,1052,239,381,201,3.0726,289600
-117.17,32.75,38,5430,1176,2357,1100,3.654,249000
-117.17,32.75,28,1514,384,540,352,2.1532,240000
-117.17,32.74,39,3803,806,1567,775,3.7039,361500
-117.17,32.74,38,5054,1168,2366,1103,2.9422,289400
-117.17,32.73,52,55,18,65,22,1.6591,112500
-117.17,32.73,52,408,143,313,143,1.815,116700
-117.17,32.73,52,1578,487,879,446,2.4069,215000
-117.17,32.72,44,626,256,572,229,1.5909,262500
-117.17,32.71,7,2493,693,951,641,4.2375,205000
-117.17,32.71,39,311,181,206,113,0.7685,187500
-117.17,32.7,33,4084,897,1804,833,4.0488,409700
-117.17,32.69,45,3168,598,1341,562,4.5189,422200
-117.17,32.69,40,2236,331,767,316,5.3177,500001
-117.17,32.69,19,2802,802,1159,597,4.7891,334600
-117.17,32.68,16,5895,1424,873,522,7.3669,187500
-117.17,32.63,26,1617,279,2745,250,3.5357,67500
-117.18,34.54,5,3772,619,2097,635,3.8194,98500
-117.18,34.3,33,399,87,71,27,1.875,71300
-117.18,34.08,28,2243,399,1464,379,3.2105,90300
-117.18,34.07,7,1347,301,799,276,2.9485,112500
-117.18,34.07,28,1306,279,885,255,2.1154,75300
-117.18,34.07,14,1258,245,752,264,3.3924,97400
-117.18,34.06,28,699,180,432,168,2.1875,81900
-117.18,34.06,26,1953,446,1284,414,1.3485,85100
-117.18,34.05,52,1820,342,601,315,2.6129,137000
-117.18,34.05,29,3436,731,1323,676,2.4943,122300
-117.18,34.04,38,2492,381,1003,369,3.6875,152800
-117.18,33.78,7,1697,424,808,354,1.3417,169300
-117.18,33.51,13,270,42,120,42,6.993,500001
-117.18,33.16,15,5923,1206,3943,1006,3.1793,159900
-117.18,33.15,7,6225,1683,5410,1580,2.32,117500
-117.18,33.11,16,3470,601,1197,552,5.1814,279900
-117.18,32.95,4,19001,2688,8980,2441,6.3237,260900
-117.18,32.84,31,3064,575,1476,549,3.6667,175900
-117.18,32.84,30,2290,523,1272,472,3.5606,165100
-117.18,32.83,31,1772,353,1090,350,3.9265,162000
-117.18,32.83,27,2346,399,1105,373,4.2708,182800
-117.18,32.82,25,1756,301,722,312,4.5625,162300
-117.18,32.81,28,3436,537,1503,498,4.7679,204000
-117.18,32.81,19,6823,1509,3784,1509,3.1032,179500
-117.18,32.8,30,2456,390,1022,393,3.8542,198500
-117.18,32.8,10,3821,631,1605,609,5.5454,217100
-117.18,32.79,30,5201,1104,2961,1064,3.2661,140400
-117.18,32.78,21,4185,1018,3122,993,3.0481,210000
-117.18,32.77,23,1215,225,592,224,3.4,200600
-117.18,32.77,16,2374,780,913,705,2.7386,87500
-117.18,32.76,8,3694,997,1297,807,3.6492,158900
-117.18,32.76,17,711,254,327,227,2.6493,67500
-117.18,32.75,52,1539,212,535,224,5.392,408500
-117.18,32.75,52,1504,208,518,196,8.603,459600
-117.18,32.75,36,2282,534,918,531,2.7222,284700
-117.18,32.74,39,3132,738,1200,690,2.5288,274000
